Protein A;Gene A;Protein B;Gene B;Score;PMID
P62259;YWHAE;P58137;ACOT8;0.081;16615898 
P62259;YWHAE;P56857;CLDN18;0.081;16615898 
P62259;YWHAE;P56546;CTBP2;0.081;16615898 
P70288;HDAC2;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P56528;CD38;0.081;16615898 
P62259;YWHAE;P56399;USP5;0.081;16615898 
Q8VC12;UROC1;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P56716;RP1;0.081;16615898 
P62259;YWHAE;P56654;CYP2C37;0.081;16615898 
P62259;YWHAE;P56593;CYP2A12;0.081;16615898 
P62259;YWHAE;P56671;MAZ;0.081;16615898 
P62259;YWHAE;P56656;CYP2C39;0.081;16615898 
P62259;YWHAE;P56657;CYP2C40;0.081;16615898 
Q9DC11;PLXDC2;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;O08547;SEC22B;0.126;26512138 
Q8VBV8;GUCA1B;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;P06240;LCK;0.126;26512138 
P62259;YWHAE;P58044;IDI1;0.081;16615898 
P62259;YWHAE;P56960;EXOSC10;0.081;16615898 
P62259;YWHAE;P56931;E2F2;0.081;16615898 
Q99J95;CDK9;P28574;MAX;0.21;20434984 
P62317;SNRPD2;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P57680;EVC;0.081;16615898 
Q5U3K5;RABL6;P51480;CDKN2A;0.569;16582619 
P62259;YWHAE;P57722;PCBP3;0.081;16615898 
Q64364;CDKN2A;Q5U3K5;RABL6;0.569;16582619 
P62259;YWHAE;P60710;ACTB;0.081;16615898 
P62259;YWHAE;P57776;EEF1D;0.081;16615898 
Q5U4C1;GPRASP1;P0DM65;BECN2;0.21;23954414 
Q3U1F9;PAG1;O55033;NCK2;0.126;26512138 
P62259;YWHAE;P57746;ATP6V1D;0.081;16615898 
P62259;YWHAE;P57759;ERP29;0.081;16615898 
P62259;YWHAE;P57787;SLC16A3;0.081;16615898 
Q99NA9;PCGF6;P28574;MAX;0.126;20946988 
P62259;YWHAE;P57784;SNRPA1;0.081;16615898 
Q8R015;BLOC1S5;Q5U5M8;BLOC1S3;0.21;15265785 
P62259;YWHAE;P57780;ACTN4;0.081;16615898 
Q8VED2;BLOC1S4;Q5U5M8;BLOC1S3;0.21;15265785 
Q9QZV4;HRC;P62259;YWHAE;0.081;16615898 
Q99KG7;HPS4;Q5U5M8;BLOC1S3;0.126;15265785 
Q9JKK7;TMOD2;P62259;YWHAE;0.081;16615898 
Q8VBV7;COPS8;P62259;YWHAE;0.081;16615898 
Q08481;PECAM1;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P58281;OPA1;0.081;16615898 
P62259;YWHAE;P58252;EEF2;0.081;16615898 
P62259;YWHAE;P58660;CARD10;0.081;16615898 
P62259;YWHAE;P58501;PAXBP1;0.081;16615898 
P62259;YWHAE;P58404;STRN4;0.081;16615898 
Q9CY57;CHTOP;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P60335;PCBP1;0.081;16615898 
P62259;YWHAE;P58929;GMEB2;0.081;16615898 
P62259;YWHAE;P58771;TPM1;0.081;16615898 
Q8VDK4;CDH13;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P59017;BCL2L13;0.081;16615898 
P62259;YWHAE;P58871;TNKS1BP1;0.081;16615898 
Q9QZM0;UBQLN2;P62259;YWHAE;0.081;16615898 
Q8VCH5;RABEPK;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P60229;EIF3E;0.081;16615898 
P62259;YWHAE;P59110;SENP1;0.081;16615898 
P62259;YWHAE;P59325;EIF5;0.081;16615898 
Q3U1F9;PAG1;O54957;LAT;0.126;26512138 
Q8VBU5;PDE4B;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P59113;FERMT1;0.081;16615898 
P62259;YWHAE;P59235;NUP43;0.081;16615898 
P62259;YWHAE;P60003;ELOF1;0.081;16615898 
P62259;YWHAE;P59708;SF3B6;0.081;16615898 
P62259;YWHAE;P59999;ARPC4;0.081;16615898 
Q8K3Y3;LIN28A;P29341;PABPC1;0.21;19713958 
Q9CY10;Q9CY10;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;P05202;GOT2;0.126;26512138 
Q3U1F9;PAG1;O55131;SEPT7;0.126;26512138 
Q00175;PGR;P19785;ESR1;0.623;22396492 
P62259;YWHAE;P60202;PLP1;0.081;16615898 
P62259;YWHAE;P60122;RUVBL1;0.081;16615898 
Q9WTI7;MYO1C;P62259;YWHAE;0.081;16615898 
Q9JKE5;MARK3;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;O88890;SH2D1A;0.126;26512138 
Q9CY21;WBSCR22;P62259;YWHAE;0.081;16615898 
Q569N2;ANKRD37;P0CG50;UBC;0.21;21723927 
Q9QWV9;CCNT1;P28574;MAX;0.21;20434984 
Q8VBX5;PPT1;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P60766;CDC42;0.081;16615898 
P62259;YWHAE;P60762;MORF4L1;0.081;16615898 
P62259;YWHAE;P60764;RAC3;0.081;16615898 
Q3U1F9;PAG1;P30681;HMGB2;0.126;26512138 
P62259;YWHAE;P60843;EIF4A1;0.081;16615898 
P62259;YWHAE;P60840;ENSA;0.081;16615898 
Q3U1F9;PAG1;P10300;CD8B;0.126;26512138 
P62259;YWHAE;P60824;CIRBP;0.081;16615898 
Q00288;PAX8;P50220;NKX2-1;0.183;20211142 
Q6ZPI0;JADE1;Q00288;PAX8;0.183;20211142 
P62259;YWHAE;P61750;ARF4;0.081;16615898 
Q3THK3;GTF2F1;Q00322;CEBPD;0.183;20211142 
Q9Z2N8;ACTL6A;P28574;MAX;0.126;20946988 
Q924Z4;CERS2;Q00322;CEBPD;0.183;20211142 
Q3U1F9;PAG1;P08752;GNAI2;0.126;26512138 
Q3U1F9;PAG1;P08249;MDH2;0.126;26512138 
Q3U1F9;PAG1;P14824;ANXA6;0.126;26512138 
Q3U1F9;PAG1;P08920;CD2;0.126;26512138 
Q3U1F9;PAG1;P09528;FTH1;0.126;26512138 
Q3U1F9;PAG1;P14685;PSMD3;0.126;26512138 
Q3U1F9;PAG1;P10852;SLC3A2;0.126;26512138 
Q3U1F9;PAG1;P11835;ITGB2;0.126;26512138 
Q3U1F9;PAG1;P14152;MDH1;0.126;26512138 
Q3U1F9;PAG1;P12787;COX5A;0.126;26512138 
P62259;YWHAE;P60898;POLR2I;0.081;16615898 
Q3U1F9;PAG1;P13379;CD5;0.126;26512138 
Q3U1F9;PAG1;P24063;ITGAL;0.126;26512138 
Q3U1F9;PAG1;P18052;PTPRA;0.126;18948260 
Q3U1F9;PAG1;P27601;GNA13;0.126;26512138 
Q3U1F9;PAG1;P23116;EIF3A;0.126;26512138 
P62259;YWHAE;P60867;RPS20;0.081;16615898 
Q3U1F9;PAG1;P22646;CD3E;0.126;26512138 
P62259;YWHAE;P60879;SNAP25;0.081;16615898 
P62259;YWHAE;P61022;CHP1;0.081;16615898 
P62259;YWHAE;P60904;DNAJC5;0.081;16615898 
P62259;YWHAE;P61021;RAB5B;0.081;16615898 
Q9DBR1;XRN2;P62259;YWHAE;0.081;16615898 
Q9CY19;PLIN2;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P61222;ABCE1;0.081;16615898 
P62259;YWHAE;P61027;RAB10;0.081;16615898 
P62259;YWHAE;P61087;UBE2K;0.081;16615898 
Q3U1F9;PAG1;P27546;MAP4;0.126;26512138 
P62259;YWHAE;P61205;ARF3;0.081;16615898 
P62259;YWHAE;P61089;UBE2N;0.081;16615898 
Q3U1F9;PAG1;P25799;NFKB1;0.126;26512138 
Q3U1F9;PAG1;P24452;CAPG;0.126;26512138 
Q3U1F9;PAG1;P26883;FKBP1A;0.126;26512138 
P62259;YWHAE;P61161;ACTR2;0.081;16615898 
P62259;YWHAE;P61514;RPL37A;0.081;16615898 
P62259;YWHAE;P61294;RAB6B;0.081;16615898 
P62259;YWHAE;P61255;RPL26;0.081;16615898 
P62259;YWHAE;P61264;STX1B;0.081;16615898 
P62259;YWHAE;P61458;PCBD1;0.081;16615898 
P62259;YWHAE;P61327;MAGOH;0.081;16615898 
P62259;YWHAE;P61358;RPL27;0.081;16615898 
Q9CYZ2;TPD52L2;P62259;YWHAE;0.081;16615898 
Q9CY27;TECR;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;P26039;TLN1;0.126;26512138 
P62313;LSM6;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;P26450;PIK3R1;0.126;26512138 
P62259;YWHAE;P61971;NUTF2;0.081;16615898 
P62259;YWHAE;P61922;ABAT;0.081;16615898 
P62259;YWHAE;P61759;VBP1;0.081;16615898 
Q7TSI3;PPP6R1;Q3U1F9;PAG1;0.126;26512138 
P62259;YWHAE;P61965;WDR5;0.081;16615898 
Q3U1F9;PAG1;P97372;PSME2;0.126;26512138 
Q3U1F9;PAG1;P52332;JAK1;0.126;26512138 
P62259;YWHAE;P61924;COPZ1;0.081;16615898 
Q3U1F9;PAG1;P42232;STAT5B;0.126;26512138 
Q3U1F9;PAG1;P42228;STAT4;0.126;26512138 
Q3U1F9;PAG1;P51881;SLC25A5;0.126;26512138 
Q3U1F9;PAG1;P47964;RPL36;0.126;26512138 
Q3U1F9;PAG1;P50516;ATP6V1A;0.126;26512138 
Q3U1F9;PAG1;P70460;VASP;0.126;26512138 
