Protein A;Gene A;Protein B;Gene B;Score;PMID
Q8R4T5;GRASP;P31421;GRM2;0.671;11850456 
Q9EP80;PICK1;P31421;GRM2;0.21;11007882 
P31422;GRM3;P11275;CAMK2A;0.309;15494036 
P97879;GRIP1;P31422;GRM3;0.126;11891216 
Q9EP80;PICK1;P31422;GRM3;0.126;11891216 
P97879;GRIP1;P31423;GRM4;0.126;11891216 
Q9JI92;SDCBP;P31423;GRM4;0.126;11891216 
P31424;GRM5;O88382;MAGI2;0.21;17396155 
Q920M9;SIAH1;P31424;GRM5;0.309;10469171 
Q9JLU4;SHANK3;Q9EQL9;SHARPIN;0.21;23897824 
Q04666;HES1;P11275;CAMK2A;0.126;15607978 
Q9WUD9;SRC;Q04666;HES1;0.126;15607978 
P63170;DYNLL1;O55156;CLIP2;0.126;14760703 
P63170;DYNLL1;P04636;MDH2;0.126;14760703 
P63170;DYNLL1;P04642;LDHA;0.126;14760703 
P63170;DYNLL1;P04797;GAPDH;0.126;14760703 
Q9ER24;ATXN10;P56558;OGT;0.583;16714295 
P63170;DYNLL1;P05065;ALDOA;0.126;14760703 
P63170;DYNLL1;P09606;GLUL;0.126;14760703 
P63170;DYNLL1;P10860;GLUD1;0.126;14760703 
P63170;DYNLL1;P15205;MAP1B;0.126;14760703 
P63170;DYNLL1;P21708;MAPK3;0.126;19935650 
P63170;DYNLL1;P27139;CA2;0.126;14760703 
P63170;DYNLL1;P29476;NOS1;0.126;14760703 
P63170;DYNLL1;P31000;VIM;0.126;14760703 
P63170;DYNLL1;P38650;DYNC1H1;0.126;14760703 
P63170;DYNLL1;P39052;DNM2;0.126;14760703 
P63170;DYNLL1;P47858;PFKM;0.126;14760703 
P63170;DYNLL1;P47860;PFKP;0.126;14760703 
P63170;DYNLL1;P54283;CACNB1;0.126;14760703 
P63170;DYNLL1;P60711;ACTB;0.126;14760703 
P63170;DYNLL1;P63018;HSPA8;0.126;14760703 
P68136;ACTA1;P63170;DYNLL1;0.126;14760703 
P68370;TUBA1A;P63170;DYNLL1;0.126;14760703 
Q02975;ZNF354A;P63170;DYNLL1;0.126;14760703 
Q03555;GPHN;P63170;DYNLL1;0.126;14760703 
Q08877;DNM3;P63170;DYNLL1;0.126;14760703 
Q3KRE8;TUBB2B;P63170;DYNLL1;0.126;14760703 
Q62599;MTA1;P63170;DYNLL1;0.126;14760703 
Q62936;DLG3;P63170;DYNLL1;0.126;14760703 
Q6P9V9;TUBA1B;P63170;DYNLL1;0.126;14760703 
Q8VHF0;MARK3;P63170;DYNLL1;0.126;14760703 
Q8VHF5;CS;P63170;DYNLL1;0.126;14760703 
Q99PW9;HIP1R;P63170;DYNLL1;0.126;14760703 
Q9R1M7;GRIN3A;P63170;DYNLL1;0.126;14760703 
Q9Z2Q4;MTR;P63170;DYNLL1;0.126;14760703 
Q9Z330;DNMT1;P63170;DYNLL1;0.126;14760703 
Q9Z340;PARD3;P63170;DYNLL1;0.126;14760703 
Q9ERZ8;TRPV4;P29066;ARRB1;0.376;20650893 
Q9ES53;UFD1L;P46462;VCP;0.569;10811609 12847084 
Q9ES54;NPLOC4;Q9ES53;UFD1L;0.376;10811609 
Q9ES54;NPLOC4;P46462;VCP;0.454;10811609 
Q4KMA2;RAD23B;P31596;SLC1A2;0.236;20178748 
Q9ESH1;PSMD4;Q4KMA2;RAD23B;0.236;20178748 
Q9ESW0;DDB1;P21708;MAPK3;0.126;19935650 
Q9ET34;SF3B1;P21708;MAPK3;0.126;19935650 
Q9ET75;SIX3;Q99PA1;HDAC2;0.21;17666527 
Q04827;CCND2;P08644;KRAS;0.21;11384971 
P63245;GNB2L1;P21708;MAPK3;0.126;19935650 
Q04940;NRGN;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.21;8080473 
Q04940;NRGN;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.21;8080473 
Q04940;NRGN;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.21;8080473 
Q05030;PDGFRB;P21708;MAPK3;0.126;19935650 
Q05030;PDGFRB;Q05030;PDGFRB;0.332;9677323 
P54748;PDE4A;P29066;ARRB1;0.21;21323643 
P63281;UBE2I;P06536;NR3C1;0.309;11812797 
P97555;MGLUR8B;P63281;UBE2I;0.523;18555800 
P30969;GNRHR;P29066;ARRB1;0.309;11278883 
P63319;PRKCG;P08050;GJA1;0.309;10871288 
P63319;PRKCG;P31044;PEBP1;0.309;12551925 
P63319;PRKCG;P61765;STXBP1;0.309;8631738 
P63319;PRKCG;P63159;HMGB1;0.309;10617144 
Q62764;YBX3;P63322;RALA;0.309;15592429 
Q62796;RALBP1;P63322;RALA;0.309;15592429 
Q05140;SNAP91;P10686;PLCG1;0.523;11779129 
P63329;PPP3CA;P21575;DNM1;0.309;14704270 
Q62910;SYNJ1;P63329;PPP3CA;0.309;14704270 
P63331;PPP2CA;P47942;DPYSL2;0.21;20220019 
Q9JIR4;RIMS1;P62260;YWHAE;0.21;18799741 
Q63645;F2RL1;P29066;ARRB1;0.21;10725339 
Q01717;TRHR;P29066;ARRB1;0.309;11278883 
P29067;ARRB2;P25095;AGTR1;0.21;16359671 
Q05546;TNR;P55068;BCAN;0.21;9294172 
Q08851;STX5;P61765;STXBP1;0.309;9395480 
P61765;STXBP1;O35431;APBA2;0.659;9395480 
P61765;STXBP1;O35430;APBA1;0.853;9395480 
Q08849;STX3;P61765;STXBP1;0.843;8108429 7768895 8996080 
P61765;STXBP1;P50279;STX2;0.787;7768895 8996080 
Q63604;NTRK2;P61810;CDK5R1;0.21;17341134 
Q03114;CDK5;P61810;CDK5R1;0.507;17036052 17341134 17728463 
P61810;CDK5R1;P35739;NTRK1;0.21;17341134 
Q05941;CHRNA7;Q05941;CHRNA7;0.236;10627589 
Q62622;EIF4EBP1;P67874;CSNK2B;0.309;8083223 
Q05962;SLC25A4;P21708;MAPK3;0.126;19935650 
Q05962;SLC25A4;P29117;PPIF;0.309;9874241 
P67999;RPS6KB1;P67999;RPS6KB1;0.065;17446865 
P28841;PCSK2;P27682;SCG5;0.376;16286464 
Q9WU11;SNURF;Q01714;SP1;0.309;14988433 
Q01728;SLC8A1;P11507;ATP2A2;0.21;14593108 
P68255;YWHAQ;P21708;MAPK3;0.126;19935650 
Q01728;SLC8A1;P20651;PPP3CB;0.21;15557343 
P68370;TUBA1A;P47942;DPYSL2;0.376;12134159 
P68403;PRKCB;D4A3K5;HIST1H1A;0.309;11118818 
P68403;PRKCB;P08050;GJA1;0.309;10871288 
P68403;PRKCB;P31044;PEBP1;0.309;12551925 
P68403;PRKCB;P61765;STXBP1;0.309;8631738 
P68403;PRKCB;P63159;HMGB1;0.309;10617144 
Q62921;RBCK1;P68403;PRKCB;0.454;9514928 
P29117;PPIF;P08934;KNG1;0.21;25623731 
Q5M7W5;MAP4;Q06486;CSNK1D;0.309;17101137 
P29117;PPIF;P00758;NGFG;0.21;25623731 
P68511;YWHAH;P47709;RPH3A;0.309;12871946 
P68511;YWHAH;P54256;HAP1;0.309;17166838 
P97526;NF1;P68511;YWHAH;0.309;14741381 
Q05140;SNAP91;P69682;NECAP1;0.126;17762867 
Q62910;SYNJ1;P69682;NECAP1;0.126;17762867 
P69897;TUBB5;P21708;MAPK3;0.126;19935650 
Q07008;NOTCH1;P97677;DLL1;0.21;24563863 
Q07014;LYN;Q07014;LYN;0.332;14604964 
Q1PS21;MCM7;Q07014;LYN;0.126;23764002 
P70478;APC;O70239;AXIN1;0.21;16815997 
P70483;STRN;P41350;CAV1;0.21;1177266 
Q9Z2F5;CTBP1;P70496;PLD1;0.21;19322195 
P70498;PLD2;P60711;ACTB;0.21;11373276 
P70600;PTK2B;P70498;PLD2;0.376;15705590 
P70552;GCHFR;P70552;GCHFR;0.332;9092499 
P70562;BHLHA15;P70562;BHLHA15;0.332;9073453 
P70569;MYO5B;P31016;DLG4;0.126;18984164 
Q99376;TFRC;P70569;MYO5B;0.126;18984164 
P70579;GRM8;O70260;PIAS3;0.309;18555800 
P70579;GRM8;P60889;CBX7;0.309;18555800 
P70579;GRM8;P63281;UBE2I;0.309;18555800 
P70582;NUP54;P70581;NUPL1;0.309;24574455 
P70583;DUT;P37230;PPARA;0.523;8910358 
Q00960;GRIN2B;P70587;LRRC7;0.21;16120608 
Q62848;ARFGAP1;P70600;PTK2B;0.21;12771146 
Q9WUD9;SRC;P70600;PTK2B;0.21;10725339 
P70604;KCNN2;P62161;CALM3;0.523;11323678 15130477 
P70606;KCNN1;P21708;MAPK3;0.126;19935650 
P27791;PRKACA;O35303;DNM1L;0.033;17721437 
Q07310;NRXN3;O35889;MLLT4;0.309;9707552 
Q62915;CASK;Q07310;NRXN3;0.309;8786425 
P32551;UQCRC2;P21708;MAPK3;0.126;19935650 
P61959;SUMO2;P38656;SSB;0.21;17646655 
P61972;NUTF2;P61972;NUTF2;0.332;8757804 
P62828;RAN;P61972;NUTF2;0.309;8757804 
P61980;HNRNPK;P17702;RPL28;0.126;16518874 
P61980;HNRNPK;P17077;RPL9;0.126;16518874 
P61980;HNRNPK;P17074;RPS19;0.126;16518874 
P61980;HNRNPK;P15999;ATP5A1;0.126;16518874 
P61980;HNRNPK;O35796;C1QBP;0.126;16518874 
P61980;HNRNPK;P04764;ENO1;0.126;16518874 
P61980;HNRNPK;O88450;DEAF1;0.126;16518874 
Q7TSE9;HAX1;Q08201;ABCB4;0.623;15159385 
P61980;HNRNPK;P15865;HIST1H1E;0.126;16518874 
P61980;HNRNPK;P10719;ATP5B;0.126;16518874 
P61980;HNRNPK;P05964;S100A6;0.126;16518874 
P61980;HNRNPK;P15650;ACADL;0.126;16518874 
P61980;HNRNPK;P11345;RAF1;0.126;16518874 
P61980;HNRNPK;P11884;ALDH2;0.126;16518874 
P27926;HK3;P21744;IGFBP4;0.21;11068878 
P50596;LEP;P27926;HK3;0.376;11068878 
P27926;HK3;P22057;PTGDS;0.21;11068878 
P27926;HK3;P23785;GRN;0.21;11068878 
P61980;HNRNPK;P48721;HSPA9;0.126;16518874 
P61980;HNRNPK;P30835;PFKL;0.126;16518874 
P61980;HNRNPK;P20788;UQCRFS1;0.126;16518874 
P61980;HNRNPK;P17764;ACAT1;0.126;16518874 
P61980;HNRNPK;P27952;RPS2;0.126;16518874 
P61980;HNRNPK;P21708;MAPK3;0.126;19935650 
P61980;HNRNPK;P24050;RPS5;0.126;16518874 
P61980;HNRNPK;P48500;TPI1;0.126;16518874 
P61980;HNRNPK;P38983;RPSA;0.126;16518874 
P61980;HNRNPK;P30904;MIF;0.126;16518874 
P61980;HNRNPK;P32551;UQCRC2;0.126;16518874 
P61980;HNRNPK;P47819;GFAP;0.126;16518874 
P61980;HNRNPK;P41123;RPL13;0.126;16518874 
P61980;HNRNPK;P47198;RPL22;0.126;16518874 
P61980;HNRNPK;P60711;ACTB;0.126;16518874 
P61980;HNRNPK;P49242;RPS3A;0.126;16518874 
P62243;RPS8;P61980;HNRNPK;0.126;16518874 
P61980;HNRNPK;P61515;RPL37A-PS1;0.126;16518874 
P61980;HNRNPK;P60868;RPS20;0.126;16518874 
Q07936;ANXA2;P61980;HNRNPK;0.126;16518874 
P62268;RPS23;P61980;HNRNPK;0.126;16518874 
P62271;RPS18;P61980;HNRNPK;0.126;16518874 
P62703;RPS4X;P61980;HNRNPK;0.126;16518874 
P62630;EEF1A1;P61980;HNRNPK;0.126;16518874 
P62890;RPL30;P61980;HNRNPK;0.126;16518874 
P62752;RPL23A;P61980;HNRNPK;0.126;16518874 
P62832;RPL23;P61980;HNRNPK;0.126;16518874 
Q00715;Q00715;P61980;HNRNPK;0.126;16518874 
P62853;RPS25;P61980;HNRNPK;0.126;16518874 
P62994;GRB2;P61980;HNRNPK;0.126;16518874 
P62909;RPS3;P61980;HNRNPK;0.126;16518874 
P62902;RPL31;P61980;HNRNPK;0.126;16518874 
P62961;YBX1;P61980;HNRNPK;0.126;16518874 
P62914;RPL11;P61980;HNRNPK;0.126;16518874 
P63018;HSPA8;P61980;HNRNPK;0.126;16518874 
P63259;ACTG1;P61980;HNRNPK;0.126;16518874 
P63039;HSPD1;P61980;HNRNPK;0.126;16518874 
P97570;PLA2G6;P61980;HNRNPK;0.126;16518874 
P84079;ARF1;P61980;HNRNPK;0.126;16518874 
Q68FQ0;CCT5;P61980;HNRNPK;0.126;16518874 
Q3T1J1;EIF5A;P61980;HNRNPK;0.126;16518874 
Q568Z8;DDX17;P61980;HNRNPK;0.126;16518874 
Q9Z0V6;PRDX3;P61980;HNRNPK;0.126;16518874 
Q4FZT6;Q4FZT6;P61980;HNRNPK;0.126;16518874 
Q3T1K5;CAPZA2;P61980;HNRNPK;0.126;16518874 
Q64598;Q64598;P61980;HNRNPK;0.126;16518874 
Q5EB65;EXOSC7;P61980;HNRNPK;0.126;16518874 
Q5BK33;LOC652956;P61980;HNRNPK;0.126;16518874 
Q641X8;EIF3E;P61980;HNRNPK;0.126;16518874 
Q5FVM4;NONO;P61980;HNRNPK;0.126;16518874 
Q5M819;PSPH;P61980;HNRNPK;0.126;16518874 
Q6P9U5;RPL9;P61980;HNRNPK;0.126;16518874 
Q6AYI1;DDX5;P61980;HNRNPK;0.126;16518874 
Q6AXS5;SERBP1;P61980;HNRNPK;0.126;16518874 
Q6LED0;Q6LED0;P61980;HNRNPK;0.126;16518874 
Q6B345;S100A11;P61980;HNRNPK;0.126;16518874 
Q6IMY8;HNRNPU;P61980;HNRNPK;0.126;16518874 
Q9ESW0;DDB1;P61980;HNRNPK;0.126;16518874 
Q6PEC4;SKP1;P61980;HNRNPK;0.126;16518874 
Q8R4A1;ERO1L;P61980;HNRNPK;0.126;16518874 
Q9JK72;CCS;P61980;HNRNPK;0.126;16518874 
Q9ET33;HNRNPL;P61980;HNRNPK;0.126;16518874 
Q9JIJ8;DDX1;P61980;HNRNPK;0.126;16518874 
Q08290;CNN1;D3ZEZ9;SVIL;0.126;15383618 
Q08290;CNN1;P63086;MAPK1;0.309;20181831 
Q08290;CNN1;P68136;ACTA1;0.309;17487264 
Q08326;RABIF;P35289;RAB15;0.309;12105226 
P80204;TGFBR1;P38438;TGFBR2;0.126;20603020 
Q6B4M5;PARD6A;P80204;TGFBR1;0.309;20603020 
Q9Z340;PARD3;P80204;TGFBR1;0.21;20603020 
P32851;STX1A;O35430;APBA1;0.731;9395480 16763567 
P32851;STX1A;P21707;SYT1;0.21;19703397 
P47709;RPH3A;P32851;STX1A;0.21;16763567 
Q9JJ50;HGS;P32851;STX1A;0.21;10825299 
Q5BJU7;WASF1;O88778;BSN;0.126;17304222 
Q9QZM5;ABI1;Q5BJU7;WASF1;0.21;17304222 
Q5BJX3;HS2ST1;P21708;MAPK3;0.126;19935650 
P51638;CAV3;P29476;NOS1;0.376;9353265 
Q62630;EGLN3;Q5BLX8;WDR83;0.569;16407229 
Q5EGY4;YKT6;Q08851;STX5;0.309;11927603 11323436 
Q62896;BET1;Q5EGY4;YKT6;0.21;11323436 
Q62931;GOSR1;Q5EGY4;YKT6;0.309;11927603 11323436 
Q5FWT7;UBLCP1;P25235;RPN2;0.21;21949367 
Q5FWU0;WASF2;O35413;SORBS2;0.21;15659545 
Q5FWY5;AIP;P54748;PDE4A;0.376;21323643 
Q5I0E7;TMED9;Q08851;STX5;0.126;9472029 
Q5I0E7;TMED9;Q5BK85;TMED1;0.126;9472029 
Q62902;LMAN1;Q5I0E7;TMED9;0.126;9472029 
Q63524;TMED2;Q5I0E7;TMED9;0.126;9472029 
Q63584;TMED10;Q5I0E7;TMED9;0.126;9472029 
Q5I0H3;SUMO1;P42260;GRIK2;0.21;22483987 
Q5I0I2;MARCH2;G3V7P1;STX12;0.309;15689499 
Q5XIE5;MARCH3;Q5I0I2;MARCH2;0.21;16428329 
Q63429;UBC;Q5I0I2;MARCH2;0.309;16428329 
Q9Z2Q7;STX8;Q5I0I2;MARCH2;0.309;15689499 
P82995;HSP90AA1;P09215;PRKCD;0.21;19356729 
P82995;HSP90AA1;P13386;MS4A2;0.21;19356729 
P82995;HSP90AA1;P47196;AKT1;0.21;19356729 
Q07014;LYN;P82995;HSP90AA1;0.21;19356729 
P62161;CALM3;P02688;MBP;0.126;17610306 
Q38PG0;Q38PG0;P21708;MAPK3;0.126;19935650 
Q4KMA2;RAD23B;P62193;PSMC1;0.236;20178748 
P62198;PSMC5;P62193;PSMC1;0.376;10526239 
Q63569;PSMC3;P62198;PSMC5;0.126;10657252 
Q63347;PSMC2;P62198;PSMC5;0.454;10526239 
Q4KMA2;RAD23B;P62198;PSMC5;0.236;20178748 
P47858;PFKM;P29476;NOS1;0.376;10187848 
Q08603;RABGGTB;Q08602;RABGGTA;0.309;10745007 
P84025;SMAD3;P47196;AKT1;0.507;16362038 
Q62947;ZEB1;P84025;SMAD3;0.376;16824956 
Q6IN36;WIPF1;Q5M7U6;ACTR2;0.21;16990791 
Q5M7V1;TRIM13;P22002;CACNA1C;0.21;21186355 
Q5M7W5;MAP4;P21708;MAPK3;0.126;19935650 
Q5M834;DTNBP1;O55147;UTRN;0.21;11316798 
Q5M848;ORAI1;D4A5X1;D4A5X1;0.507;23711249 
Q5M848;ORAI1;P84903;STIM1 {ECO:0000312|RGD:1306831};0.21;23711249 
Q5M9H1;LRRC41;P62870;TCEB2;0.126;11384984 
Q5M9H1;LRRC41;P83941;TCEB1;0.126;11384984 
Q5M834;DTNBP1;P84060;DTNB;0.21;11316798 
P31016;DLG4;P29476;NOS1;0.21;9786987 
P84087;CPLX2;P63045;VAMP2;0.21;19033464 
P84245;H3F3B;P84245;H3F3B;0.155;22371606 
P84889;VANGL2;D4A3W8;DACT1;0.126;24879894 
P84889;VANGL2;F1M0J7;PRICKLE2;0.21;23567299 
P85834;TUFM;P21708;MAPK3;0.126;19935650 
Q4KMA2;RAD23B;P85834;TUFM;0.236;20178748 
Q9EP80;PICK1;P85970;ARPC2;0.21;21252856 
Q5PQN0;NCALD;P04797;GAPDH;0.21;11964161 
Q8CGU6;NCSTN;Q5PQQ3;APH1A;0.21;12297508 
Q5PQR6;THEGL;P21708;MAPK3;0.126;19935650 
Q63429;UBC;P29476;NOS1;0.21;24186360 
Q5RJQ8;CALHM2;P21708;MAPK3;0.126;19935650 
Q5RJY4;DHRS7B;P21708;MAPK3;0.126;19935650 
Q9WTQ1;PRKD1;P29476;NOS1;0.21;24740233 
Q9Z2F5;CTBP1;P29476;NOS1;0.454;11590170 
Q9R237;MAPK8IP1;Q3B8P9;MAPK8IP2;0.21;16456539 
P33568;RB1;O08560;DGKZ;0.309;16286473 
P28471;GABRA4;P18506;GABRD;0.21;18079275 
P63079;GABRB3;P28471;GABRA4;0.21;18079275 
Q3MIE4;VAT1;P21708;MAPK3;0.126;19935650 
P97526;NF1;P34900;SDC2;0.523;11356864 
P97526;NF1;P46462;VCP;0.376;22105171 
P97536;CAND1;P62198;PSMC5;0.21;10526239 
Q63347;PSMC2;P97536;CAND1;0.21;10526239 
P97541;HSPB6;P97541;HSPB6;0.332;19646995 
P97554;DNAJB9;P35565;CANX;0.126;22665516 
Q66H94;FKBP9;P97554;DNAJB9;0.126;22665516 
Q66HD0;HSP90B1;P97554;DNAJB9;0.126;22665516 
P97555;MGLUR8B;A9UK05;PIAS1;0.309;18555800 
P97555;MGLUR8B;D3ZNQ6;UBE2M;0.309;18555800 
Q62868;ROCK2;P97555;MGLUR8B;0.523;18555800 
P97573;INPP5D;P13386;MS4A2;0.21;11970986 
Q4QQV2;DOK1;P97573;INPP5D;0.61;16407976 11970986 12008030 
Q63203;FCGR2;P97573;INPP5D;0.21;11970986 
P97598;KRT18;P21708;MAPK3;0.126;19935650 
Q6MG89;Q6MG89;P97677;DLL1;0.21;24563863 
P97756;CAMKK1;P29476;NOS1;0.033;15251453 
P97756;CAMKK1;P35213;YWHAB;0.21;18242179 
P97756;CAMKK1;P62260;YWHAE;0.21;18242179 
Q63450;CAMK1;P97756;CAMKK1;0.309;16054096 
Q3MUI1;NUMB;P62944;AP2B1;0.21;17022975 
Q3MUI1;NUMB;P18484;AP2A2;0.21;17022975 
Q3MUI1;NUMB;P84092;AP2M1;0.21;17022975 
Q3MUI2;NUMBL;P97879;GRIP1;0.309;10896157 
Q66HM2;AP2A2;Q3MUI1;NUMB;0.21;17022975 
Q62936;DLG3;P97836;DLGAP1;0.309;9115257 
Q9JLU4;SHANK3;P97836;DLGAP1;0.309;10433268 
P97837;DLGAP2;P34926;MAP1A;0.309;9786987 
P97837;DLGAP2;P97836;DLGAP1;0.309;10488079 
Q9WV48;SHANK1;P97837;DLGAP2;0.309;10488079 
P97838;DLGAP3;O88382;MAGI2;0.21;9694864 
P97839;DLGAP4;O88382;MAGI2;0.21;9694864 
Q62696;DLG1;P97839;DLGAP4;0.309;9115257 
Q64349;MAL;P34080;AQP2;0.21;17940053 
P97879;GRIP1;P19490;GRIA1;0.126;11891216 
P97879;GRIP1;P54256;HAP1;0.309;10896157 
Q64604;PTPRF;P97879;GRIP1;0.376;11931740 
P97887;PSEN1;A0A0G2K6H8;A0A0G2K6H8;0.126;27036734 
P97887;PSEN1;B5DEH2;ERLIN2;0.507;22771797 
P97887;PSEN1;P21707;SYT1;0.126;27036734 
P97887;PSEN1;P97887;PSEN1;0.236;12297508 
Q5PQQ3;APH1A;P97887;PSEN1;0.21;12297508 
Q6QI68;PSENEN;P97887;PSEN1;0.126;27036734 
Q8CGU6;NCSTN;P97887;PSEN1;0.21;12297508 
Q62986;ESR2;P97947;NR0B2;0.309;10648597 
Q3T1L0;ALDH16A1;O09171;BHMT;0.21;16619302 
Q3T1L0;ALDH16A1;P02770;ALB;0.21;16619302 
Q6PEC4;SKP1;Q3T1L0;ALDH16A1;0.21;16619302 
Q3T1L0;ALDH16A1;P27605;HPRT1;0.21;16619302 
Q3T1L0;ALDH16A1;P34058;HSP90AB1;0.21;16619302 
Q62940;NEDD4;Q5U2S1;NDFIP1;0.21;22417925 
Q5U2S7;PSMD3;Q4KMA2;RAD23B;0.236;20178748 
Q5U2T9;FKBP5;P21708;MAPK3;0.126;19935650 
Q66H76;PXN;Q5U2U2;CRKL;0.21;9710592 
Q9EQG6;KIDINS220;Q5U2U2;CRKL;0.21;16284401 
Q5U2X5;TNK2;Q5U2X5;TNK2;0.332;16052498 
Q8CFN2;CDC42;Q5U2X5;TNK2;0.21;10618719 
Q5U318;PEA15;P21708;MAPK3;0.126;19935650 
Q63429;UBC;Q5U349;USP2;0.309;10938131 
Q9WUD9;SRC;P28648;CD63;0.21;18211905 
Q03348;PTPRA;P28648;CD63;0.454;18211905 
Q62839;GOLGA2;Q08851;STX5;0.126;11927603 
Q5XFX0;TAGLN2;P21708;MAPK3;0.126;19935650 
Q5XHZ0;TRAP1;P21708;MAPK3;0.126;19935650 
Q5XIA5;COASY;P67999;RPS6KB1;0.309;15589845 
Q5XIC6;PSMD12;Q4KMA2;RAD23B;0.236;20178748 
Q63429;UBC;Q5XIE5;MARCH3;0.309;16428329 
Q5XIF4;SUMO3;A7VJC2;HNRNPA2B1;0.126;22082260 
Q5XIF4;SUMO3;D3ZGB1;NFAT5;0.126;22082260 
Q5XIF4;SUMO3;D3ZHA0;FLNC;0.126;22082260 
Q5XIF4;SUMO3;F1LQ48;F1LQ48;0.126;22082260 
Q5XIF4;SUMO3;O08629;TRIM28;0.126;22082260 
Q5XIF4;SUMO3;O35260;NACC1;0.126;22082260 
Q5XIF4;SUMO3;O35763;MSN;0.126;22082260 
Q5XIF4;SUMO3;O54975;XPNPEP1;0.126;22082260 
Q5XIF4;SUMO3;O55170;SOX10;0.126;22082260 
Q5XIF4;SUMO3;O88600;HSPA4;0.126;22082260 
Q5XIF4;SUMO3;P00406;MTCO2;0.126;22082260 
Q5XIF4;SUMO3;P04256;HNRNPA1;0.126;22082260 
Q5XIF4;SUMO3;P04636;MDH2;0.126;22082260 
Q5XIF4;SUMO3;P04642;LDHA;0.126;22082260 
Q5XIF4;SUMO3;P04897;GNAI2;0.126;22082260 
Q5XIF4;SUMO3;P04906;GSTP1;0.126;22082260 
Q5XIF4;SUMO3;P05197;EEF2;0.126;22082260 
Q5XIF4;SUMO3;P07943;AKR1B1;0.126;22082260 
Q5XIF4;SUMO3;P10719;ATP5B;0.126;22082260 
Q5XIF4;SUMO3;P11442;CLTC;0.126;22082260 
Q5XIF4;SUMO3;P13471;RPS14;0.126;22082260 
Q5XIF4;SUMO3;P15999;ATP5A1;0.126;22082260 
Q5XIF4;SUMO3;P16617;PGK1;0.126;22082260 
Q5XIF4;SUMO3;P19527;NEFL;0.126;22082260 
Q5XIF4;SUMO3;P21531;RPL3;0.126;22082260 
Q5XIF4;SUMO3;P21533;RPL6;0.126;22082260 
Q5XIF4;SUMO3;P24155;THOP1;0.126;22082260 
Q5XIF4;SUMO3;P25113;PGAM1;0.126;22082260 
Q5XIF4;SUMO3;P29457;SERPINH1;0.126;22082260 
Q5XIF4;SUMO3;P31000;VIM;0.126;22082260 
Q5XIF4;SUMO3;P34058;HSP90AB1;0.126;22082260 
Q5XIF4;SUMO3;P43244;MATR3;0.126;22082260 
Q5XIF4;SUMO3;P50399;GDI2;0.126;22082260 
Q5XIF4;SUMO3;P54275;MSH2;0.126;22082260 
Q5XIF4;SUMO3;P54311;GNB1;0.126;22082260 
Q5XIF4;SUMO3;P56574;IDH2;0.126;22082260 
Q5XIF4;SUMO3;P61107;RAB14;0.126;22082260 
Q5XIF4;SUMO3;P62630;EEF1A1;0.126;22082260 
Q5XIF4;SUMO3;P62836;RAP1A;0.126;22082260 
Q5XIF4;SUMO3;P62909;RPS3;0.126;22082260 
Q5XIF4;SUMO3;P62914;RPL11;0.126;22082260 
Q5XIF4;SUMO3;P62963;PFN1;0.126;22082260 
Q5XIF4;SUMO3;P63018;HSPA8;0.126;22082260 
Q5XIF4;SUMO3;P63245;GNB2L1;0.126;22082260 
Q5XIF4;SUMO3;P63281;UBE2I;0.126;22082260 
Q5XIF4;SUMO3;P63331;PPP2CA;0.126;22082260 
Q5XIF4;SUMO3;P68101;EIF2S1;0.126;22082260 
Q5XIF4;SUMO3;P68136;ACTA1;0.126;22082260 
Q5XIF4;SUMO3;P68370;TUBA1A;0.126;22082260 
Q5XIF4;SUMO3;P69897;TUBB5;0.126;22082260 
Q5XIF4;SUMO3;P81155;VDAC2;0.126;22082260 
Q5XIF4;SUMO3;P82995;HSP90AA1;0.126;22082260 
Q5XIF4;SUMO3;P84082;ARF2;0.126;22082260 
Q5XIF4;SUMO3;P85845;FSCN1;0.126;22082260 
Q5XIF4;SUMO3;P97697;IMPA1;0.126;22082260 
Q5XIF4;SUMO3;Q07936;ANXA2;0.126;22082260 
Q5XIF4;SUMO3;Q08163;CAP1;0.126;22082260 
Q5XIF4;SUMO3;Q3KRD8;EIF6;0.126;22082260 
Q5XIF4;SUMO3;Q3KRE8;TUBB2B;0.126;22082260 
Q5XIF4;SUMO3;Q5EXX3;ZBTB38;0.126;22082260 
Q5XIF4;SUMO3;Q5FVM4;NONO;0.126;22082260 
Q5XIF4;SUMO3;Q5I0E8;KIF22;0.126;22082260 
Q5XIF4;SUMO3;Q5I0H3;SUMO1;0.126;22082260 
Q5XIF4;SUMO3;Q5RKI0;WDR1;0.126;22082260 
Q5XIF4;SUMO3;Q5U2Y1;GTF2I;0.126;22082260 
Q5XIF4;SUMO3;Q5U300;UBA1;0.126;22082260 
Q5XIF4;SUMO3;Q5XHY5;TARS;0.126;22082260 
Q5XIF4;SUMO3;Q5XI73;ARHGDIA;0.126;22082260 
Q5XIF4;SUMO3;Q5XIF4;SUMO3;0.155;22082260 
Q5XIF6;TUBA4A;Q5XIF4;SUMO3;0.126;22082260 
Q5XIH7;PHB2;Q5XIF4;SUMO3;0.126;22082260 
Q62826;HNRNPM;Q5XIF4;SUMO3;0.126;22082260 
