Protein A;Gene A;Protein B;Gene B;Score;PMID
Q9Z1I1;SOS2;O88778;BSN;0.126;17304222 
Q9Z1I2;RPS6KA2;P21708;MAPK3;0.126;19935650 
Q9Z1K9;ADAM17;P49134;ITGB1;0.21;22413019 
Q9Z1P2;ACTN1;P21708;MAPK3;0.236;19935650 
Q9Z1P3;MCL1;O88498;BCL2L11;0.523;9731710 
Q9Z1P3;MCL1;P16599;TNF;0.236;17623297 
Q9Z1T4;CNKSR2;P70587;LRRC7;0.376;12390249 
Q9Z1X8;FBXO2;P21708;MAPK3;0.126;19935650 
Q9Z1Y0;RHOV;P26431;SLC9A1;0.309;11481038 
Q9Z1Y3;CDH2;P08050;GJA1;0.21;19509333 
Q9Z200;SH2B2;Q9Z200;SH2B2;0.236;16824542 
Q9Z214;HOMER1;P31424;GRM5;0.309;9647694 
Q9Z214;HOMER1;P35439;GRIN1;0.126;24591565 
Q9Z250;LIN7A;Q5I0I2;MARCH2;0.309;15689499 
Q9Z252;LIN7B;Q6GMN2;BAIAP2;0.765;14596909 
Q9Z252;LIN7B;Q9WU82;CTNNB1;0.126;14596909 
Q9Z254;GIPC1;O88658;KIF1B;0.309;10198040 
Q9Z254;GIPC1;P02563;MYH6;0.454;10198040 
Q9Z254;GIPC1;Q6RFZ7;PLEKHG5;0.309;16467373 
Q9Z269;VAPB;P21708;MAPK3;0.236;19935650 
Q9Z270;VAPA;P21708;MAPK3;0.126;19935650 
Q9Z272;GIT1;O55043;ARHGEF7;0.21;12626503 
Q9Z298;MAP1B;P21708;MAPK3;0.236;19935650 
Q9Z2A6;MAPK15;P21708;MAPK3;0.236;19935650 
Q9Z2F5;CTBP1;P70498;PLD2;0.309;19322195 
Q9Z2L0;VDAC1;P00758;NGFG;0.21;25623731 
Q9Z2L0;VDAC1;P21708;MAPK3;0.126;19935650 
Q9Z2L0;VDAC1;Q63690;BAX;0.126;19694802 
Q9Z2P5;RIPK3;Q8VIB2;DAXX;0.21;23260419 
Q9Z2S9;FLOT2;P54319;PLAA;0.126;17007841 
Q9Z2S9;FLOT2;Q9QUN6;Q9QUN6;0.126;17007841 
Q9Z2X3;PSMD10;P33568;RB1;0.21;11301474 
Q9Z2X5;HOMER3;P62198;PSMC5;0.396;22486777 
P21708;MAPK3;P04642;LDHA;0.126;19935650 
P21575;DNM1;P19804;NME2;0.21;11872741 
Q9QYW3;MOB4;P19804;NME2;0.837;11872741 
P09416;MYC;P05554;CEBPA;0.033;12873812 
Q5I0H3;SUMO1;P05554;CEBPA;0.21;23639777 
Q62857;DDIT3;P05554;CEBPA;0.309;8657121 
Q6P6W3;HDAC3;P05554;CEBPA;0.376;23639777 
P16599;TNF;P04692;TPM1;0.236;17623297 
Q6IMK2;SP7;D3ZU57;NO66;0.21;19927124 
Q6IN36;WIPF1;P21575;DNM1;0.21;16990791 
Q6IN36;WIPF1;O08816;WASL;0.21;16990791 
Q6IN36;WIPF1;P62994;GRB2;0.21;16990791 
Q6IN36;WIPF1;P47942;DPYSL2;0.21;16990791 
P31016;DLG4;P05696;PRKCA;0.126;11937501 
Q62936;DLG3;P05696;PRKCA;0.126;11937501 
Q9EP80;PICK1;P05696;PRKCA;0.21;11007882 
Q9Z2L0;VDAC1;P05708;HK1;0.21;25647035 
Q6XVN8;MAP1LC3A;P68370;TUBA1A;0.309;7908909 
P21708;MAPK3;P05765;RPS21;0.126;19935650 
Q6Y1S0;Q6Y1S0;P11507;ATP2A2;0.126;24610369 
Q6Y2E6;RAB40C;Q4KMA2;RAD23B;0.236;20178748 
P21707;SYT1;P04775;SCN2A;0.523;10737807 
P0DP31;CALM3 {ECO:0000312|RGD:2259};P04775;SCN2A;0.309;12967988 
P0DP30;CALM2 {ECO:0000312|RGD:2258};P04775;SCN2A;0.309;12967988 
Q5WQV5;RDX;P19969;GABRA5;0.309;16467845 
P0DP29;CALM1 {ECO:0000312|RGD:2257};P04775;SCN2A;0.309;12967988 
P12392;CHRNB4;P04757;CHRNA3;0.21;15247319 
P07632;SOD1;P04785;P4HB;0.376;23061969 
P06211;ESR1;B0K019;BAG1;0.21;21808025 
